organizacao,n,avg_med,avg_max
Saxo,11,43.33912719384693,47.33695645964031
sthenno,9,41.88723985978792,42.73562035742862
CombinHorizon,6,41.61564593531165,46.76362120574333
Lunzima,18,40.78245872700115,43.309072158690384
YOYO-AI,21,40.008009214120385,43.137421470516735
Quazim0t0,70,39.30768989813696,41.93859963937472
sometimesanotion,58,38.865771581632615,42.11094293951407
CultriX,32,38.58742724748265,40.645885900911715
huihui-ai,8,36.76970620174971,48.10647092442315
arcee-ai,11,36.41610644523877,44.05339262826514
suayptalha,12,36.39124571579666,43.320333136542786
tensopolis,15,36.38947458816892,42.91732437905944
Cran-May,7,35.699515240521414,43.6405549503723
marcuscedricridia,40,35.64723527821461,42.84836261136232
qingy2024,17,35.19645398109978,39.91810674601417
