cluster,level_1,fullname,average,ifeval,bbh,math,gpqa,musr,mmlu_pro
0,4333,wanlige/li-14b-v0.4,43.65996249118637,81.32798751756451,50.384177102490106,55.740181268882175,11.85682326621924,16.349999999999998,46.30060579196218
0,194,Cran-May/tempmotacilla-cinerea-0308,43.6405549503723,80.84837121061007,50.59894860885105,55.51359516616314,14.988814317673373,12.669531249999999,47.224069148936174
0,4149,suayptalha/Lamarckvergence-14B,43.320333136542786,76.55941790006072,50.32923622182769,54.003021148036254,15.100671140939594,16.336197916666666,47.593454491725765
0,4150,suayptalha/Lix-14B-v0.1,43.31763225045196,78.13313120298585,51.473725053502925,52.94561933534743,15.99552572706935,13.422656250000003,47.93513593380615
0,1138,MaziyarPanahi/calme-2.2-llama3.1-70b,43.31100681386724,85.92667455684251,54.20646208605566,43.65558912386707,9.955257270693513,17.06953125,49.05252659574468
1,241,Daemontatox/Llama3.3-70B-CogniLink,42.77471354959223,69.31042965996889,52.12466257626164,41.389728096676734,26.062639821029084,21.395572916666662,46.36524822695035
1,2077,allenai/Llama-3.1-Tulu-3-70B,42.33178738532094,82.91167435737177,45.365568617406275,45.01510574018127,16.442953020134222,23.754166666666666,40.50125591016548
1,2078,allenai/Llama-3.1-Tulu-3-70B-DPO,42.22441492015548,82.81925291559727,45.047180919508435,44.93957703927492,16.778523489932887,23.39921875,40.36273640661938
1,3830,prithivMLmods/Equuleus-Opus-14B-Exp,42.199750941616415,70.0073582538775,48.61670086911542,45.84592145015105,18.232662192393736,21.89583333333333,48.60002955082743
1,4057,sometimesanotion/LamarckInfusion-14B-v2,42.11094293951407,68.11892445378263,50.84149099483824,43.8821752265861,18.34451901565996,22.40755208333333,49.07099586288417
2,3594,newsbang/Homer-v1.0-Qwen2.5-72B,47.464376408361055,76.27716680629618,62.27406507872839,49.01812688821752,22.14765100671141,17.89947916666667,57.16976950354611
2,3981,rubenroy/Gilgamesh-72B,46.793671661266096,84.86006019583593,61.83602130504769,43.80664652567976,19.239373601789712,17.664062499999996,53.3558658392435
2,1625,Sakalti/ultiima-72B,46.76723892225559,71.4012154416947,61.10313258693403,53.54984894259819,21.923937360178968,18.115104166666665,54.510195035460995
2,3942,raphgg/test-2.5-72B,46.73987796559809,84.37047035199936,62.1541268705062,41.08761329305136,18.568232662192393,20.515104166666664,53.74372044917257
2,4034,shuttleai/shuttle-3,46.70460730741495,81.5403130360776,64.05301565117443,45.996978851963746,21.588366890380314,14.64427083333333,52.40469858156028
3,3164,jpacifico/Chocolatine-14B-Instruct-DPO-v1.3,42.42049137915473,70.39953988749849,54.84648579293099,56.19335347432024,12.192393736017896,12.291145833333333,48.60002955082743
3,121,BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,42.26732013588396,54.73499204333391,61.91149453060484,57.85498489425982,15.659955257270694,12.016666666666671,51.425827423167846
3,1412,Quazim0t0/Fugazi14b,41.93859963937472,69.97987561891337,56.092125930693726,46.52567975830816,13.534675615212524,16.419010416666662,49.0802304964539
3,1450,Quazim0t0/Rune-14b,41.81723237189117,70.15973173402128,56.053987787163095,45.84592145015105,13.534675615212524,16.29348958333333,49.01558806146573
3,4151,suayptalha/Luminis-phi-4,41.757466085959734,69.00069593124022,55.80283046446502,46.37462235649547,13.534675615212524,16.677864583333328,49.15410756501182
4,2511,dnhkng/RYS-XLarge,45.345219749056206,79.95662619627035,58.77356748233938,42.522658610271904,17.897091722595075,23.721093749999998,49.20028073286053
4,1136,MaziyarPanahi/calme-2.1-rys-78b,44.64399850290042,81.35547015252862,59.4700307859535,39.42598187311178,19.239373601789712,18.99739583333333,49.37573877068559
4,1149,MaziyarPanahi/calme-2.3-rys-78b,44.55737382877077,80.65854155862002,59.57454695904105,39.803625377643506,20.581655480984338,16.999218749999997,49.7266548463357
4,1133,MaziyarPanahi/calme-2.1-qwen2-72b,44.39894388647036,81.62774770941103,57.3258823447103,40.78549848942598,17.4496644295302,20.15234375,49.05252659574468
4,1143,MaziyarPanahi/calme-2.2-rys-78b,44.38633440385336,79.86420475449586,59.268645675184494,40.70996978851964,20.917225950782996,16.82864583333333,48.72931442080378
5,603,FINGU-AI/RomboUltima-32B,44.731545333278405,66.71509372908326,56.67376969863417,53.85196374622356,16.21923937360179,21.721093749999998,53.20811170212767
5,3976,rootxhacker/Apollo-70B,43.15901797697317,50.9856070781083,53.528405173016914,56.11782477341389,27.628635346756152,23.146354166666658,47.54728132387708
5,2770,hotmailuser/RombosBeagle-v2beta-MGS-32B,42.65614620168921,51.567618363719376,58.117898971791085,49.92447129909365,17.337807606263986,24.460416666666664,54.52866430260048
5,2584,fblgit/TheBeagle-v2beta-32B-MGS,42.642045426579536,51.807426517196596,58.027976201167604,49.47129909365559,17.67337807606264,24.260416666666668,54.61177600472813
5,1567,Sakalti/Oxyge1-33B,41.60924567669207,45.48265269484966,58.03229697403189,49.62235649546828,17.67337807606264,24.29765625,54.547133569739955
6,1162,MaziyarPanahi/calme-3.2-instruct-78b,52.08138397879168,80.62607215521483,62.609443282901594,40.33232628398791,20.3579418344519,38.52890624999999,70.03361406619385
6,1158,MaziyarPanahi/calme-3.1-instruct-78b,51.28748997363473,81.35547015252862,62.40968270370106,39.274924471299094,19.463087248322143,36.49947916666666,68.72229609929079
6,2479,dfurman/CalmeRys-78B-Orpo-v0.1,51.23132307602696,81.6327344778521,61.92476379259157,40.6344410876133,20.022371364653242,36.37213541666666,66.80149231678487
6,1152,MaziyarPanahi/calme-2.4-rys-78b,50.76504719022304,80.10899967641413,62.15654929467119,40.70996978851964,20.3579418344519,34.56614583333333,66.690676713948
6,927,JungZoona/T3Q-qwen2.5-14b-v1.0-e3,47.091544713804204,73.2396707403024,65.46659667305961,28.625377643504528,22.259507829977633,38.688020833333326,54.270094562647756
7,2779,huihui-ai/Qwen2.5-72B-Instruct-abliterated,48.10647092442315,85.92667455684251,60.487869412693875,60.12084592145015,19.35123042505593,12.342187500000003,50.410017730496456
7,1515,Qwen/Qwen2.5-72B-Instruct,47.98045991216864,86.3837949972739,61.873255668787884,59.818731117824775,16.666666666666664,11.742187500000005,51.39812352245864
7,1135,MaziyarPanahi/calme-2.1-qwen2.5-72b,47.85672202584548,86.62360315075111,61.65570318314716,59.13897280966768,15.100671140939594,13.297135416666663,51.3242464539007
7,2557,ehristoforu/qwen2.5-test-32b-it,47.36835680458376,78.89499860370483,58.28330738049858,59.74320241691843,15.212527964205815,19.126562500000002,52.94954196217494
7,1638,Saxo/Linkbricks-Horizon-AI-Avengers-V1-32B,47.33695645964031,79.71681804279312,57.633928620802884,60.27190332326284,14.988814317673373,18.155989583333334,53.25428486997635
