fullname,average,rank_observado,rank_mediano_boot,rank_lo95,rank_hi95,amplitude_95
MaziyarPanahi/calme-3.2-instruct-78b,52.08138397879168,1,1.0,1.0,3.0,2.0
MaziyarPanahi/calme-3.1-instruct-78b,51.28748997363473,2,3.0,1.0,4.0,3.0
dfurman/CalmeRys-78B-Orpo-v0.1,51.23132307602696,3,3.0,1.0,4.0,3.0
MaziyarPanahi/calme-2.4-rys-78b,50.76504719022304,4,4.0,1.0,4.0,3.0
huihui-ai/Qwen2.5-72B-Instruct-abliterated,48.10647092442315,5,6.0,5.0,15.0,10.0
Qwen/Qwen2.5-72B-Instruct,47.98045991216864,6,7.0,5.0,15.0,10.0
MaziyarPanahi/calme-2.1-qwen2.5-72b,47.85672202584548,7,7.0,5.0,17.0,12.0
newsbang/Homer-v1.0-Qwen2.5-72B,47.464376408361055,8,10.5,5.0,24.0,19.0
ehristoforu/qwen2.5-test-32b-it,47.36835680458376,9,11.0,5.0,24.0,19.0
Saxo/Linkbricks-Horizon-AI-Avengers-V1-32B,47.33695645964031,10,12.0,5.0,25.0,20.0
MaziyarPanahi/calme-2.2-qwen2.5-72b,47.22457675508573,11,13.0,6.0,26.0,20.0
fluently-lm/FluentlyLM-Prinum,47.21693789116021,12,13.0,6.0,27.0,21.0
JungZoona/T3Q-Qwen2.5-14B-Instruct-1M-e3,47.091544713804204,13,14.0,6.0,29.0,23.0
JungZoona/T3Q-qwen2.5-14b-v1.0-e3,47.091544713804204,14,14.0,6.0,29.0,23.0
zetasepic/Qwen2.5-32B-Instruct-abliterated-v2,46.88867299768722,15,17.0,7.0,30.0,23.0
CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,46.76362120574333,18,18.0,8.0,31.0,23.0
rubenroy/Gilgamesh-72B,46.793671661266096,16,18.5,8.0,31.0,23.0
Sakalti/ultiima-72B,46.76723892225559,17,19.0,7.0,33.0,26.0
maldv/Awqward2.5-32B-Instruct,46.74902268350894,19,19.0,8.0,31.0,23.0
raphgg/test-2.5-72B,46.73987796559809,20,19.0,8.0,32.0,24.0
shuttleai/shuttle-3,46.70460730741495,21,20.0,8.0,33.0,25.0
Qwen/Qwen2.5-32B-Instruct,46.59714569921449,22,21.0,9.0,33.0,24.0
mistralai/Mistral-Large-Instruct-2411,46.524214355965,23,22.0,10.0,34.024999999999864,24.024999999999864
rombodawg/Rombos-LLM-V2.5-Qwen-72b,46.50088713558663,24,22.0,9.0,35.0,26.0
Saxo/Linkbricks-Horizon-AI-Avengers-V3-32B,46.36626657304592,25,24.0,11.0,35.0,24.0
zetasepic/Qwen2.5-72B-Instruct-abliterated,46.33795303791254,26,24.0,10.0,37.0,27.0
Saxo/Linkbricks-Horizon-AI-Avengers-V6-32B,46.23110024344452,27,25.0,13.0,36.0,23.0
tanliboy/lambda-qwen2.5-32b-dpo-test,45.924592588188716,28,29.0,16.0,40.0,24.0
maldv/Qwentile2.5-32B-Instruct,45.9002633632381,29,30.0,15.0,41.0,26.0
rombodawg/Rombos-LLM-V2.5-Qwen-32b,45.83301184834238,30,30.0,15.0,42.0,27.0
OpenBuddy/openbuddy-llama3.3-70b-v24.1-131k,45.73679489100153,31,31.0,17.0,43.0,26.0
Saxo/Linkbricks-Horizon-AI-Avengers-V5-32B,45.672698393079905,32,32.0,18.0,43.0,25.0
CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,45.6578470977455,33,32.0,20.0,41.0,21.0
Saxo/Linkbricks-Horizon-AI-Avengers-V4-32B,45.60530808037683,34,33.0,20.0,42.0,22.0
Sakalti/ultiima-32B,45.40321787320272,35,35.0,21.0,46.0,25.0
dnhkng/RYS-XLarge,45.345219749056206,36,36.0,24.0,46.0,22.0
ssmits/Qwen2.5-95B-Instruct,45.257345532181205,37,36.0,25.975,45.0,19.025
Sakalti/ultiima-72B-v1.5,44.89912916202218,38,40.0,28.0,49.0,21.0
tomasmcm/sky-t1-coder-32b-flash,44.868558910231286,39,40.0,29.0,49.0,20.0
meta-llama/Llama-3.3-70B-Instruct,44.84747145129876,40,40.0,31.0,48.0,17.0
FINGU-AI/RomboUltima-32B,44.731545333278405,41,41.0,30.0,49.0,19.0
MaziyarPanahi/calme-2.1-rys-78b,44.64399850290042,42,42.0,31.0,50.0,19.0
MaziyarPanahi/calme-2.3-rys-78b,44.55737382877077,43,43.0,32.0,50.0,18.0
MaziyarPanahi/calme-2.1-qwen2-72b,44.39894388647036,44,44.0,34.0,50.0,16.0
MaziyarPanahi/calme-2.2-rys-78b,44.38633440385336,45,45.0,34.0,50.0,16.0
Undi95/MG-FinalMix-72B,44.29736213992491,46,46.0,34.975,50.0,15.024999999999999
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.2,44.221596025457025,47,46.0,35.0,50.0,15.0
dfurman/Qwen2-72B-Orpo-v0.1,44.172299850567384,48,46.0,36.0,50.0,14.0
dnhkng/RYS-XLarge-base,44.096835700317605,49,47.0,37.0,50.0,13.0
MaziyarPanahi/calme-2.2-qwen2-72b,44.09009576064759,50,47.0,37.975,50.0,12.024999999999999
