fullname,average,score_composito,ifeval,bbh,math,gpqa,musr,mmlu_pro
MaziyarPanahi/calme-3.2-instruct-78b,52.08138397879168,62.8664687829599,80.62607215521483,62.609443282901594,40.33232628398791,20.3579418344519,38.52890624999999,70.03361406619385
MaziyarPanahi/calme-3.1-instruct-78b,51.28748997363473,61.92823696625277,81.35547015252862,62.40968270370106,39.274924471299094,19.463087248322143,36.49947916666666,68.72229609929079
dfurman/CalmeRys-78B-Orpo-v0.1,51.23132307602696,60.87598965855497,81.6327344778521,61.92476379259157,40.6344410876133,20.022371364653242,36.37213541666666,66.80149231678487
MaziyarPanahi/calme-2.4-rys-78b,50.76504719022304,60.74753640552904,80.10899967641413,62.15654929467119,40.70996978851964,20.3579418344519,34.56614583333333,66.690676713948
newsbang/Homer-v1.0-Qwen2.5-72B,47.464376408361055,55.21708726857769,76.27716680629618,62.27406507872839,49.01812688821752,22.14765100671141,17.89947916666667,57.16976950354611
JungZoona/T3Q-Qwen2.5-14B-Instruct-1M-e3,47.091544713804204,54.52658152037437,73.2396707403024,65.46659667305961,28.625377643504528,22.259507829977633,38.688020833333326,54.270094562647756
JungZoona/T3Q-qwen2.5-14b-v1.0-e3,47.091544713804204,54.52658152037437,73.2396707403024,65.46659667305961,28.625377643504528,22.259507829977633,38.688020833333326,54.270094562647756
Sakalti/ultiima-72B-v1.5,44.89912916202218,54.400858252565655,65.49610588793291,63.438206058920265,43.957703927492446,21.812080536912756,18.536718749999995,56.153959810874696
rombodawg/Rombos-LLM-V2.5-Qwen-72b,46.50088713558663,53.72772396986963,71.5535889218385,61.26714504573664,54.229607250755286,19.798657718120808,17.322916666666668,54.83340721040189
Sakalti/ultiima-72B,46.76723892225559,53.58910313370693,71.4012154416947,61.10313258693403,53.54984894259819,21.923937360178968,18.115104166666665,54.510195035460995
raphgg/test-2.5-72B,46.73987796559809,53.19093871446742,84.37047035199936,62.1541268705062,41.08761329305136,18.568232662192393,20.515104166666664,53.74372044917257
zetasepic/Qwen2.5-72B-Instruct-abliterated,46.33795303791254,53.006689608850635,71.52610628687438,59.912975835046495,52.416918429003026,20.917225950782996,19.122916666666665,54.13157505910166
shuttleai/shuttle-3,46.70460730741495,52.99593482079487,81.5403130360776,64.05301565117443,45.996978851963746,21.588366890380314,14.64427083333333,52.40469858156028
rubenroy/Gilgamesh-72B,46.793671661266096,52.92826921560048,84.86006019583593,61.83602130504769,43.80664652567976,19.239373601789712,17.664062499999996,53.3558658392435
rombodawg/Rombos-LLM-V2.5-Qwen-32b,45.83301184834238,52.79462982683877,68.26631116548536,58.261894086787414,49.546827794561935,19.574944071588366,24.727083333333336,54.621010638297875
fluently-lm/FluentlyLM-Prinum,47.21693789116021,52.693334612028806,80.9033364805383,59.482203418427986,54.003021148036254,18.232662192393736,17.259895833333335,53.42050827423167
Sakalti/ultiima-32B,45.40321787320272,52.61877533693765,68.54357549080883,58.112446786765965,49.62235649546828,17.4496644295302,24.134895833333335,54.55636820330969
Qwen/Qwen2.5-72B-Instruct,47.98045991216864,52.44994586453986,86.3837949972739,61.873255668787884,59.818731117824775,16.666666666666664,11.742187500000005,51.39812352245864
ehristoforu/qwen2.5-test-32b-it,47.36835680458376,52.36802230964872,78.89499860370483,58.28330738049858,59.74320241691843,15.212527964205815,19.126562500000002,52.94954196217494
MaziyarPanahi/calme-2.1-qwen2.5-72b,47.85672202584548,52.34923104949762,86.62360315075111,61.65570318314716,59.13897280966768,15.100671140939594,13.297135416666663,51.3242464539007
Saxo/Linkbricks-Horizon-AI-Avengers-V1-32B,47.33695645964031,52.334937777690314,79.71681804279312,57.633928620802884,60.27190332326284,14.988814317673373,18.155989583333334,53.25428486997635
maldv/Qwentile2.5-32B-Instruct,45.9002633632381,52.274287852870614,73.93161256576994,57.205877636883635,52.190332326283986,17.897091722595075,19.96197916666667,54.214686761229316
MaziyarPanahi/calme-2.2-qwen2.5-72b,47.22457675508573,52.21490420435384,84.76763875406145,61.80360419146786,58.91238670694864,14.541387024608499,12.016666666666671,51.305777186761226
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,41.30426754456703,52.09708727871344,50.76330802271307,61.61232489960707,44.48640483383686,19.910514541387023,17.15234375,53.90070921985816
hotmailuser/RombosBeagle-v2beta-MGS-32B,42.65614620168921,52.095864740560266,51.567618363719376,58.117898971791085,49.92447129909365,17.337807606263986,24.460416666666664,54.52866430260048
fblgit/TheBeagle-v2beta-32B-MGS,42.642045426579536,52.0958498578165,51.807426517196596,58.027976201167604,49.47129909365559,17.67337807606264,24.260416666666668,54.61177600472813
Aryanne/QwentileSwap,43.91650770857709,52.08811989434285,73.78422585406722,57.67565555333628,42.220543806646525,15.659955257270694,19.20520833333333,54.95345744680851
sakaltcommunity/novablast-preview,41.51641804260023,51.911248714127474,45.30279657974175,58.18215998102389,48.94259818731118,17.561521252796418,24.497656250000002,54.61177600472813
Sakalti/Oxyge1-33B,41.60924567669207,51.87190989589247,45.48265269484966,58.03229697403189,49.62235649546828,17.67337807606264,24.29765625,54.547133569739955
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.2,44.221596025457025,51.83205460509353,68.78837041272712,59.0667326828602,43.126888217522655,21.140939597315437,19.730729166666666,53.47591607565011
