lang_a,lang_b,kendall_tau,p,n
English,Portuguese,0.5540916385036406,0.000653344376521351,20
English,German,0.7157894736842105,1.3420520081287795e-06,20
English,Spanish,0.5894736842105264,0.00014216492337970727,20
English,Global,0.968421052631579,1.2487144939622356e-15,20
Portuguese,German,0.7229576616666549,8.699351622768187e-06,20
Portuguese,Spanish,0.7440659145620315,4.71570471592285e-06,20
Portuguese,Global,0.5857540178467058,0.00031430839243634277,20
German,Spanish,0.768421052631579,1.0352946382857873e-07,20
German,Global,0.7473684210526316,3.0521052671846353e-07,20
Spanish,Global,0.6000000000000001,0.00010251957630002948,20
