,English,Portuguese,German,Spanish,Global
RWKV-4-Raven-14B,15.0,9.0,11.0,12.0,13.0
alpaca-13b,11.0,12.0,12.0,11.0,11.0
chatglm-6b,16.0,19.5,18.0,19.0,16.0
claude-instant-v1,3.0,1.0,4.0,5.0,3.0
claude-v1,2.0,2.0,2.0,1.0,2.0
dolly-v2-12b,19.0,15.0,15.0,16.0,19.0
fastchat-t5-3b,17.0,13.0,16.0,17.0,17.0
gpt-3.5-turbo,4.0,3.0,3.0,4.0,4.0
gpt-4,1.0,4.0,1.0,2.0,1.0
gpt4all-13b-snoozy,14.0,16.0,14.0,14.0,15.0
guanaco-33b,6.0,8.0,5.0,9.0,6.0
koala-13b,9.0,10.0,10.0,10.0,9.0
llama-13b,20.0,11.0,17.0,13.0,20.0
mpt-7b-chat,12.0,14.0,9.0,15.0,12.0
oasst-pythia-12b,13.0,17.0,13.0,8.0,14.0
palm-2,7.0,19.5,20.0,20.0,8.0
stablelm-tuned-alpha-7b,18.0,18.0,19.0,18.0,18.0
vicuna-13b,5.0,5.0,6.0,3.0,5.0
vicuna-7b,10.0,7.0,8.0,6.0,10.0
wizardlm-13b,8.0,6.0,7.0,7.0,7.0
